Afghanistan;32527000;48.43;26.70;32.00;83.00;8.26;0.10;0.10;0.00;5.27;27.8;18.47;8.40;31.90;55.30;0.40;45.90;1.18;23.87;51.47;6.21;7.03;8.74;9.46
Albania;2889000;50.40;57.41;100.00;100.00;63.25;0.00;0.00;0.00;30.82;28.96;15.20;19.20;93.20;95.10;8.20;52.10;1.99;96.77;98.37;1.12;1.37;1.25;1.53
Algeria;39667000;49.69;70.73;100.00;100.00;38.20;0.10;0.10;0.00;40.32;35.3;16.10;9.20;87.60;83.60;0.40;45.90;0.61;73.06;86.13;2.05;2.32;2.40;2.68
American Samoa;56000;49.23;87.20;45.45;60.30;29.78;0.00;0.00;0.00;15.59;42.69;7.18;7.18;62.50;100.00;12.80;40.60;41.80;99.12;98.91;2.03;2.41;2.43;2.89
Andorra;70000;51.14;85.12;100.00;100.00;96.91;0.00;0.00;0.00;103.74;30.13;10.21;10.09;100.00;100.00;28.40;38.50;59.71;100.00;100.00;0.19;0.23;0.26;0.31
Angola;25022000;50.38;44.05;6.00;83.00;12.40;0.90;0.50;0.00;20.24;42.72;26.72;26.72;51.60;49.00;2.81;21.91;0.43;60.74;81.97;8.79;10.37;14.89;16.46
Antigua and Barbuda;92000;52.20;23.77;79.75;100.00;65.20;0.00;0.00;0.00;63.18;47.07;14.72;8.94;85.93;97.90;2.70;21.20;30.59;92.97;91.95;0.52;0.63;0.73;0.88
Argentina;43417000;51.07;91.75;95.75;100.00;69.40;0.10;0.20;0.00;55.79;42.67;8.40;6.50;96.40;99.10;20.80;31.80;4.81;98.13;98.04;1.00;1.22;1.13;1.37
Armenia;3018000;53.62;62.67;100.00;99.80;58.25;0.10;0.10;0.00;23.07;31.48;18.10;14.40;89.50;100.00;1.70;54.80;6.34;99.73;99.81;1.11;1.39;1.25;1.56
Aruba;104000;52.47;41.53;79.75;100.00;88.66;0.00;0.00;0.00;98.67;47.07;14.72;8.94;97.70;98.10;2.70;21.20;34.76;97.51;97.54;1.48;1.87;1.73;2.18
Australia;23781000;50.04;89.42;100.00;100.00;84.56;0.10;0.10;0.00;124.66;34.94;6.20;6.00;100.00;100.00;14.70;18.40;28.22;100.00;100.00;0.27;0.33;0.34;0.41
Austria;8611000;50.89;65.97;100.00;100.00;83.93;0.00;0.00;0.00;132.04;30.48;5.40;5.80;100.00;100.00;35.90;37.40;17.47;100.00;100.00;0.26;0.31;0.32;0.39
Azerbaijan;9651000;50.22;54.62;100.00;100.00;77.00;0.10;0.10;0.00;48.70;31.79;6.00;4.00;89.30;87.00;0.40;48.60;2.71;99.73;99.88;2.58;2.98;2.90;3.42
Bahamas, The;388000;51.04;82.87;100.00;100.00;78.00;1.20;1.80;0.00;63.02;47.07;16.30;16.10;92.00;98.40;2.70;21.20;15.28;92.97;91.95;0.92;1.06;1.12;1.29
Bahrain;1377000;38.02;88.78;92.85;98.31;93.48;0.00;0.00;0.00;127.63;45.9;3.90;0.50;99.20;100.00;6.90;40.10;51.13;93.43;96.95;0.51;0.54;0.59;0.64
Bangladesh;160996000;49.52;34.28;49.30;90.20;14.40;0.10;0.10;0.00;9.15;32.13;7.80;4.15;60.60;86.90;1.10;43.70;0.88;58.31;64.64;2.80;3.33;3.47;4.04
Barbados;284000;52.09;31.48;79.75;100.00;76.11;0.60;0.90;0.00;44.95;47.07;11.40;11.70;96.20;99.70;1.10;13.20;12.13;92.97;91.95;1.10;1.30;1.18;1.41
Belarus;9513000;53.52;76.67;100.00;100.00;62.23;0.30;0.20;0.00;48.48;27.18;8.88;9.15;94.30;99.70;11.00;49.40;11.40;99.67;99.79;0.29;0.38;0.39;0.51
Belgium;11286000;50.80;97.86;100.00;100.00;85.05;0.00;0.00;0.00;120.80;27.59;7.90;9.00;99.50;100.00;20.90;28.00;12.28;100.00;100.00;0.29;0.36;0.37;0.46
Belize;359000;50.15;43.97;100.00;100.00;41.59;0.60;0.50;0.00;23.24;53.26;22.30;9.20;90.50;99.50;11.57;23.91;14.99;83.31;82.23;1.27;1.56;1.48;1.82
Benin;10880000;50.13;43.95;14.50;68.00;6.79;0.40;0.20;9.20;5.63;43.44;2.40;2.40;19.70;77.90;1.10;16.40;2.26;27.29;49.87;5.92;6.89;9.46;10.40
Bermuda;65000;50.37;100.00;100.00;100.00;98.32;0.00;0.00;0.00;143.66;47.07;8.20;8.70;85.93;95.64;2.70;21.20;30.85;92.97;91.95;1.48;1.87;1.73;2.18
Bhutan;775000;46.27;38.64;52.75;100.00;39.80;0.00;0.00;0.00;22.93;38.81;3.50;1.90;50.40;100.00;2.56;26.81;6.60;55.12;71.15;2.43;3.00;2.95;3.62
Bolivia;10725000;49.92;68.51;72.50;99.28;45.10;0.10;0.20;0.00;19.05;48.4;7.00;5.04;50.30;90.00;18.60;33.60;1.33;92.88;97.44;2.73;3.38;3.47;4.19
Bosnia and Herzegovina;3810000;50.23;39.77;100.00;100.00;65.07;0.00;0.00;0.00;29.13;33.83;28.90;26.50;94.80;99.90;31.20;49.00;0.91;97.43;99.56;0.46;0.56;0.48;0.59
Botswana;2262000;50.04;57.44;23.87;71.05;27.50;9.80;3.90;0.00;43.40;60.46;18.42;18.42;63.40;96.20;2.81;21.91;7.10;89.21;87.22;3.15;3.79;3.98;4.72
Brazil;207848000;50.83;85.69;97.00;99.95;59.08;0.20;0.30;0.00;42.17;51.48;5.80;4.00;82.80;98.10;12.40;21.00;0.34;92.87;92.29;1.33;1.58;1.49;1.77
British Virgin Islands;30000;50.37;46.19;88.60;98.34;51.92;0.00;0.00;0.00;42.97;47.07;14.72;8.94;97.50;95.64;2.70;21.20;57.47;92.97;91.95;1.48;1.87;1.73;2.18
Brunei Darussalam;423000;48.48;77.20;67.05;78.99;71.20;0.00;0.00;0.00;214.71;42.16;4.12;4.12;77.21;94.13;3.40;29.20;24.28;95.44;97.80;0.78;0.94;0.93;1.11
Bulgaria;7178000;51.42;73.95;100.00;100.00;56.66;0.00;0.00;0.00;49.20;36.01;10.40;12.30;86.00;99.40;30.40;45.20;1.43;98.07;98.73;0.83;1.03;0.93;1.15
Burkina Faso;18106000;50.38;29.86;1.40;48.50;11.39;0.40;0.30;0.00;4.65;35.3;3.09;3.09;19.70;82.30;5.10;33.10;3.89;28.35;47.57;5.56;6.60;8.34;9.37
Burundi;11179000;50.58;12.06;1.20;58.50;4.87;0.30;0.30;0.00;1.99;33.36;26.60;26.60;48.00;75.90;2.81;21.91;2.57;82.91;88.19;4.80;6.00;7.56;8.75
Cabo Verde;521000;50.66;65.53;46.75;84.35;43.02;0.50;0.30;0.00;17.96;47.19;14.51;14.51;72.20;91.70;3.90;20.20;2.87;84.66;92.46;1.85;2.28;2.19;2.69
Cambodia;15578000;51.22;20.72;18.80;91.30;19.00;0.20;0.10;0.00;9.56;30.76;0.30;0.30;42.40;75.50;3.50;45.20;0.47;72.30;84.95;2.15;2.76;2.52;3.20
Cameroon;23344000;50.00;54.38;18.50;87.50;20.68;1.90;1.10;0.00;8.54;46.54;4.30;4.30;45.80;75.60;0.90;33.70;1.64;68.88;81.15;5.14;6.24;8.17;9.35
Canada;35852000;50.40;81.83;100.00;100.00;88.47;0.00;0.00;0.00;121.40;33.68;6.40;7.40;99.80;99.80;14.20;19.50;21.80;100.00;100.00;0.40;0.47;0.45;0.53
Cayman Islands;60000;50.37;100.00;79.75;90.88;77.00;0.00;0.00;0.00;136.72;47.07;5.80;6.70;95.60;97.40;2.70;21.20;39.57;92.97;91.95;1.48;1.87;1.73;2.18
Central African Republic;4900000;50.71;40.04;8.15;14.88;4.56;1.60;1.00;0.00;1.70;56.24;26.60;26.60;21.80;68.50;2.81;21.91;1.67;24.36;50.71;8.40;9.85;12.32;13.66
Chad;14037000;49.94;22.47;3.05;18.32;2.70;0.70;0.40;38.40;5.96;43.32;26.60;26.60;12.10;50.80;2.81;21.91;3.68;31.75;48.38;7.80;9.18;13.14;14.56
Channel Islands;164000;50.44;31.47;100.00;100.00;79.63;0.00;0.00;0.00;103.74;30.13;10.21;10.09;97.87;99.82;24.77;31.79;50.28;100.00;100.00;0.34;0.41;0.40;0.49
Chile;17948000;50.66;89.53;97.80;99.81;64.29;0.10;0.20;0.00;61.29;50.45;6.90;5.30;99.10;99.00;37.40;41.70;2.62;96.50;96.76;0.64;0.76;0.74;0.87
China;1371220000;48.48;55.61;100.00;100.00;50.30;0.00;0.00;0.00;39.59;42.16;4.12;4.12;76.50;95.50;2.00;49.00;0.07;94.47;98.16;0.86;0.98;1.00;1.13
